# Time [h]	Lignin [g/L]	Methane [g/L]	Substrate [g/L]	Carbondioxide [g/L]	MO_acetoM [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
0.2	113.34838370048	0.077729054297135	0.49964655836147	0.94472437689109	1.8096939518441	1.4021586718971	2.9024521503903	2.7256463015709
0.39918783462993	113.34873599965	0.091088504969758	0.99627205990721	1.0148932586143	1.8137829508699	1.3063794943582	2.9020003898659	2.7251215810515
0.67805080311182	113.34962287356	0.10757316835307	1.6898782759514	1.1124764660358	1.8194269097781	1.1756117462301	2.9013931490323	2.7250766721136
0.81019513581555	113.35019135412	0.11437331072613	2.0178890097533	1.1581566098084	1.8220664441049	1.1150450513277	2.9011158543977	2.7252162113439
0.99519720160077	113.35115820162	0.12275808787312	2.4763737287068	1.2213104348849	1.8257163426793	1.0319669226939	2.9007398453135	2.7256006375214
1.2542000937001	113.35263897578	0.13231333042862	2.469968153505	1.3076970759044	1.830709937434	0.89951644470938	2.9002322903674	2.7211242965838
1.6168041426391	113.35470562566	0.1416748263784	2.4610281818688	1.4234962795266	1.837395990339	0.72184237055137	2.8995562131372	2.715099022321
2.1244498111538	113.35758637167	0.14746167434778	2.4485665771771	1.571664604933	1.8459132912852	0.4945995955507	2.8987053033436	2.7074636661708
2.8351537470743	113.36159490616	0.14125132753348	2.4312263401021	1.7367383526376	1.8552348372835	0.24298445549369	2.8978097133496	2.6993923707332
3.830139257363	113.36715907178	0.10860756351772	2.4071563571107	1.8565061910775	1.8613627848336	0.06789813677321	2.8973430352336	2.6954107518639
4.830139257363	113.37269588529	0.073896168315376	2.3832051287327	1.8989865816498	1.8626006071152	0.017860494021998	2.8974326808323	2.6972039934316
5.830139257363	113.3781775776	0.05026820431622	2.3594922329293	1.9167702283895	1.8622162939927	0.0092309212604627	2.8977049545916	2.7013015422031
6.830139257363	113.38360471303	0.036905515950711	2.336015286974	1.9307335297222	1.8615344230796	0.0080615334407337	2.8980088773468	2.7059843614265
7.830139257363	113.38897784664	0.029752004667514	2.3127719374302	1.9445469297369	1.8608084508149	0.0078574150047633	2.8983155771612	2.710845346982
8.830139257363	113.39429751754	0.025955864828839	2.2897598591905	1.9584850317152	1.8600715391685	0.0077704266129752	2.8986212958836	2.7157591675687
9.830139257363	113.39956425791	0.023930311139689	2.2669767510095	1.972465456423	1.8593277588952	0.0076981150409346	2.8989255916088	2.7206689708095
10.830139257363	113.40477859443	0.02283324400378	2.2444203346261	1.9864149482006	1.8585776615976	0.0076282158350494	2.8992284234027	2.7255448017127
11.830139257363	113.40994104851	0.022222384914188	2.2220883544585	2.0002903254303	1.8578213773718	0.0075592503120322	2.8995297981659	2.7303701912787
12.830139257363	113.41505213638	0.02186597821784	2.19997857737	2.0140678648804	1.8570589852305	0.0074910305557497	2.8998297284061	2.7351358694092
13.830139257363	113.42011236914	0.021642636324029	2.1780887924429	2.0277348022795	1.8562905573777	0.0074235246862935	2.9001282271932	2.7398364420528
14.830139257363	113.42512225278	0.021488776112115	2.1564168107589	2.0412843626821	1.8555161645325	0.007356720577822	2.9004253075545	2.7444685938481
15.830139257363	113.43008228827	0.021371082374481	2.1349604651789	2.0547130123684	1.8547358765898	0.0072906091096553	2.9007209824014	2.7490301143654
16.830139257363	113.4349929716	0.02127208804824	2.1137176101258	2.0680189587592	1.8539497627153	0.0072251819058494	2.9010152645207	2.7535193719043
17.830139257363	113.43985479382	0.021182623841954	2.0926861213725	2.0812013342942	1.8531578913689	0.0071604309260096	2.9013081665739	2.7579350304239
18.830139257363	113.4446682411	0.021097864855086	2.0718638958271	2.0942597527367	1.8523603303159	0.0070963483421281	2.9015997010982	2.7622758985672
19.830139257363	113.44943379475	0.021015260627589	2.0512488513235	2.1071940679367	1.8515571466361	0.0070329264840127	2.9018898805071	2.7665408506221
20.830139257363	113.45415193133	0.020933451385375	2.0308389264132	2.1200042426262	1.8507484067319	0.0069701578110904	2.902178717092	2.7707287868879
21.830139257363	113.45882312262	0.02085170068735	2.0106320801589	2.1326902770531	1.8499341763353	0.0069080348969637	2.9024662230229	2.7748386158833
22.830139257363	113.46344783572	0.020769598488038	1.9906262919308	2.1452521702481	1.8491145205152	0.0068465504205717	2.9027524103497	2.7788692489356
23.830139257363	113.4680265331	0.020686905816042	1.970819561204	2.1576898991439	1.8482895036838	0.0067856971608235	2.9030372910038	2.7828196020441
24.830139257363	113.47635247031	0.028850531079703	4.4386393971048	2.200550760354	1.8493884935525	0.042566012960196	2.903223566553	2.804923837302
25.830139257363	113.48656193697	0.030666124484549	4.3944749275147	2.2372298975287	1.8502077366022	0.019045585694191	2.9035556743395	2.8093546698151
26.830139257363	113.49666976771	0.028938765852414	4.3507499192039	2.2615087421499	1.8502454295508	0.015222226654958	2.9039726472184	2.8154304891198
27.830139257363	113.50667701498	0.027529697827433	4.3074599794045	2.2836225322857	1.8501463045195	0.014573775076645	2.9044010261987	2.8212703208714
28.830139257363	113.51658468933	0.026635237725519	4.2646007746489	2.3052109043532	1.8500173069821	0.014362461515704	2.9048286607834	2.8268389401618
29.830139257363	113.52639378287	0.026054748417931	4.222168018488	2.326429352974	1.8498732990836	0.014210866021387	2.9052538979191	2.8320934520752
30	113.52805027779	0.025966228370564	4.2150023037487	2.3299141264556	1.8498475436104	0.014186345819151	2.905325872356	2.8328600949698
