--time	Susceptibles	Exposed	Infected	Recovered	Deaths	
0	764000	56	28	0	0	
0.01	763999.797504884	56.0166684798714	28.1216704405556	0.0641561766648545	1.91549578875707e-08	
0.02	763999.594949548	56.0333418674372	28.2431907954534	0.128517750378759	3.83929195046261e-08	
0.03	763999.392333976	56.0500201641102	28.3645613260993	0.193084476021316	5.77137824885738e-08	
0.04	763999.189658149	56.0667033713035	28.4857822934734	0.257856108902286	7.71174446551175e-08	
0.05	763998.98692205	56.0833914904309	28.6068539581315	0.322832404760879	9.6603803997967e-08	
0.06	763998.784125661	56.1000845229063	28.7277765802049	0.388013119765064	1.16172758688548e-07	
0.07	763998.581268964	56.1167824701441	28.8485504194017	0.453398010510868	1.35824207075714e-07	
0.08	763998.378351942	56.1334853335591	28.9691757350075	0.518986834021683	1.55558047685456e-07	
0.09	763998.175374576	56.1501931145664	29.0896527858857	0.584779347747567	1.75374179220616e-07	
0.1	763997.97233685	56.1669058145816	29.2099818304785	0.650775309564557	1.95272500560596e-07	
0.11	763997.769238745	56.1836234350207	29.3301631268074	0.716974477773969	2.15252910761076e-07	
0.12	763997.566080244	56.2003459772999	29.4501969324743	0.783376611101714	2.35315309053722e-07	
0.13	763997.362861328	56.217073442836	29.5700835046616	0.849981468697603	2.55459594845901e-07	
0.14	763997.159581981	56.2338058330461	29.6898231001334	0.916788810134659	2.75685667720398e-07	
0.15	763996.956242184	56.2505431493477	29.8094159752357	0.98379839540843	2.95993427435126e-07	
0.16	763996.75284192	56.2672853931587	29.9288623858977	1.0510099849363	3.16382773922844e-07	
0.17	763996.54938117	56.2840325658973	30.048162587632	1.11842333955682	3.36853607290872e-07	
0.18	763996.345859918	56.3007846689821	30.1673168355353	1.18603822052899	3.57405827820807e-07	
0.19	763996.142278144	56.3175417038324	30.2863253842895	1.25385438953159	3.78039335968238e-07	
0.2	763995.938635833	56.3343036718674	30.4051884881619	1.32187160866254	3.98754032362464e-07	
0.21	763995.734932965	56.351070574507	30.5239064010061	1.39008964043813	4.19549817806214e-07	
0.22	763995.531169522	56.3678424131714	30.6424793762628	1.45850824779244	4.40426593275358e-07	
0.23	763995.327345488	56.3846191892813	30.7609076669602	1.52712719407658	4.61384259918633e-07	
0.24	763995.123460845	56.4014009042576	30.879191525715	1.59594624305805	4.82422719057356e-07	
0.25	763994.919515573	56.4181875595217	30.9973312047328	1.66496515892008	5.03541872185147e-07	
0.26	763994.715509657	56.4349791564953	31.1153269558087	1.73418370626092	5.24741620967646e-07	
0.27	763994.511443077	56.4517756966008	31.2331790303286	1.80360165009316	5.46021867242235e-07	
0.28	763994.307315816	56.4685771812605	31.350887679269	1.8732187558431	5.67382513017757e-07	
0.29	763994.103127857	56.4853836118974	31.4684531531984	1.94303478935004	5.8882346047424e-07	
0.3	763993.898879181	56.502194989935	31.5858757022774	2.01304951686564	6.10344611962612e-07	
0.31	763993.69456977	56.5190113167968	31.7031555762601	2.08326270505322	6.31945870004433e-07	
0.32	763993.490199607	56.535832593907	31.8202930244938	2.15367412098709	6.53627137291609e-07	
0.33	763993.285768674	56.5526588226902	31.9372882959205	2.22428353215193	6.75388316686116e-07	
0.34	763993.081276953	56.5694900045711	32.0541416390771	2.29509070644205	6.97229311219728e-07	
0.35	763992.876724426	56.5863261409752	32.1708533020965	2.3660954121608	7.19150024093738e-07	
0.36	763992.672111075	56.603167233328	32.2874235327077	2.43729741801984	7.4115035867868e-07	
0.37	763992.467436883	56.6200132830556	32.4038525782368	2.50869649313853	7.63230218514056e-07	
0.38	763992.262701831	56.6368642915845	32.5201406856077	2.58029240704323	7.85389507308064e-07	
0.39	763992.057905901	56.6537202603415	32.6362881013427	2.65208492966665	8.07628128937318e-07	
0.4	763991.853049077	56.6705811907539	32.7522950715631	2.7240738313472	8.29945987446576e-07	
0.41	763991.648131339	56.6874470842493	32.8681618419898	2.79625888282833	8.5234298704847e-07	
0.42	763991.44315267	56.7043179422557	32.9838886579443	2.86863985525785	8.74819032123229e-07	
0.43	763991.238113052	56.7211937662015	33.0994757643488	2.94121652018729	8.97374027218407e-07	
0.44	763991.033012468	56.7380745575156	33.2149234057275	3.01398864957127	9.20007877048612e-07	
0.45	763990.827850898	56.754960317627	33.3302318262067	3.08695601576679	9.42720486495233e-07	
0.46	763990.622628326	56.7718510479655	33.4454012695158	3.1601183915326	9.65511760606172e-07	
0.47	763990.417344733	56.7887467499609	33.5604319789878	3.23347555002859	9.88381604595569e-07	
0.48	763990.212000102	56.8056474250437	33.6753241975601	3.30702726481506	1.01132992384353e-06	
0.49	763990.006594414	56.8225530746445	33.7900781677748	3.38077330985214	1.03435662389587e-06	
0.5	763989.801127651	56.8394637001947	33.9046941317799	3.4547134594991	1.05746161046383e-06	
0.51	763989.595599797	56.8563793031256	34.0191723313293	3.52884748851371	1.0806447894238e-06	
0.52	763989.390010832	56.8732998848692	34.1335130077842	3.6031751720516	1.10390606681709e-06	
0.53	763989.184360738	56.8902254468579	34.247716402113	3.67769628566561	1.1272453488496e-06	
0.54	763988.978649499	56.9071559905244	34.3617827548925	3.75241060530514	1.15066254189161e-06	
0.55	763988.772877095	56.9240915173018	34.4757123063081	3.82731790731554	1.17415755247749e-06	
